file,filename,method_directory,method,C,run,code_family,group_path,n_records,n_steps,final_index,final_selection_rule,final_distance,final_score,final_ler,final_ler_std,best_index,best_distance,best_score,best_ler,best_ler_std,best_ler_index,runtime_seconds,runtime_source,beam_width,score_gamma,score_max_weight,score_max_top,logical_max_comb_order,precision_budget,total_runtime
optimization/results/logical_guided_absolute_score_gamma01_slack1_repeated_runs/beam/logical_guided_beam_absolute_score_gamma01_slack1_C0_run1.hdf5,logical_guided_beam_absolute_score_gamma01_slack1_C0_run1.hdf5,beam,beam,0,1,"[625,25]","/[625,25]/logical_guided_score_S50_T300_p0.03_bw5_gamma0.1_maxw18_comb10_weightslack1_window2_scoretop0.1_min3_max10_100000prec_20260613_133912",2011,51,1337,final_best marker,9.0,9282000099.999996,0.00302,0.00017351973112868433,2010,9.0,9282000099.999996,0.00302,0.00017351973112868433,1337,3706.99,run-group total_runtime attribute,5,0.1,18,10,10,100000,3706.99
optimization/results/logical_guided_absolute_score_gamma01_slack1_repeated_runs/beam/logical_guided_beam_absolute_score_gamma01_slack1_C0_run2.hdf5,logical_guided_beam_absolute_score_gamma01_slack1_C0_run2.hdf5,beam,beam,0,2,"[625,25]","/[625,25]/logical_guided_score_S50_T300_p0.03_bw5_gamma0.1_maxw18_comb10_weightslack1_window2_scoretop0.1_min3_max10_100000prec_20260613_144101",2512,51,2459,final_best marker,9.0,11055000999.999996,0.00363,0.00019018042140537723,2511,9.0,11055000999.999996,0.00363,0.00019018042140537723,2459,4123.58,run-group total_runtime attribute,5,0.1,18,10,10,100000,4123.58
optimization/results/logical_guided_absolute_score_gamma01_slack1_repeated_runs/beam/logical_guided_beam_absolute_score_gamma01_slack1_C0_run3.hdf5,logical_guided_beam_absolute_score_gamma01_slack1_C0_run3.hdf5,beam,beam,0,3,"[625,25]","/[625,25]/logical_guided_score_S50_T300_p0.03_bw5_gamma0.1_maxw18_comb10_weightslack1_window2_scoretop0.1_min3_max10_100000prec_20260613_154946",1829,51,1159,final_best marker,9.0,9282000099.999996,0.00476,0.0002176554564879488,1828,9.0,9282000099.999996,0.00476,0.0002176554564879488,1159,3377.89,run-group total_runtime attribute,5,0.1,18,10,10,100000,3377.89
optimization/results/logical_guided_absolute_score_gamma01_slack1_repeated_runs/beam/logical_guided_beam_absolute_score_gamma01_slack1_C0_run4.hdf5,logical_guided_beam_absolute_score_gamma01_slack1_C0_run4.hdf5,beam,beam,0,4,"[625,25]","/[625,25]/logical_guided_score_S50_T300_p0.03_bw5_gamma0.1_maxw18_comb10_weightslack1_window2_scoretop0.1_min3_max10_100000prec_20260613_164606",8303,51,7907,final_best marker,9.0,11055000999.999996,0.00318,0.00017804267182877794,8302,9.0,11055000999.999996,0.00318,0.00017804267182877794,7907,2879.3,run-group total_runtime attribute,5,0.1,18,10,10,100000,2879.3
optimization/results/logical_guided_absolute_score_gamma01_slack1_repeated_runs/beam/logical_guided_beam_absolute_score_gamma01_slack1_C0_run5.hdf5,logical_guided_beam_absolute_score_gamma01_slack1_C0_run5.hdf5,beam,beam,0,5,"[625,25]","/[625,25]/logical_guided_score_S50_T300_p0.03_bw5_gamma0.1_maxw18_comb10_weightslack1_window2_scoretop0.1_min3_max10_100000prec_20260613_173408",1996,51,1146,final_best marker,9.0,11143209999.999996,0.00306,0.00017466158440450108,1995,9.0,11143209999.999996,0.00306,0.00017466158440450108,1146,3040.15,run-group total_runtime attribute,5,0.1,18,10,10,100000,3040.15
optimization/results/logical_guided_absolute_score_gamma01_slack1_repeated_runs/beam/logical_guided_beam_absolute_score_gamma01_slack1_C0_run6.hdf5,logical_guided_beam_absolute_score_gamma01_slack1_C0_run6.hdf5,beam,beam,0,6,"[625,25]","/[625,25]/logical_guided_score_S50_T300_p0.03_bw5_gamma0.1_maxw18_comb10_weightslack1_window2_scoretop0.1_min3_max10_100000prec_20260613_182450",11407,51,1186,final_best marker,8.0,18272100999.99999,0.00357,0.0001886078119513274,11353,8.0,18272100999.99999,0.00357,0.0001886078119513274,1186,2590.74,run-group total_runtime attribute,5,0.1,18,10,10,100000,2590.74
optimization/results/logical_guided_absolute_score_gamma01_slack1_repeated_runs/beam/logical_guided_beam_absolute_score_gamma01_slack1_C0_run7.hdf5,logical_guided_beam_absolute_score_gamma01_slack1_C0_run7.hdf5,beam,beam,0,7,"[625,25]","/[625,25]/logical_guided_score_S50_T300_p0.03_bw5_gamma0.1_maxw18_comb10_weightslack1_window2_scoretop0.1_min3_max10_100000prec_20260613_190803",2318,51,1564,final_best marker,9.0,9282000099.999996,0.00356,0.00018834441519776304,2317,9.0,9282000099.999996,0.00356,0.00018834441519776304,1564,2574.91,run-group total_runtime attribute,5,0.1,18,10,10,100000,2574.91
optimization/results/logical_guided_absolute_score_gamma01_slack1_repeated_runs/beam/logical_guided_beam_absolute_score_gamma01_slack1_C0_run8.hdf5,logical_guided_beam_absolute_score_gamma01_slack1_C0_run8.hdf5,beam,beam,0,8,"[625,25]","/[625,25]/logical_guided_score_S50_T300_p0.03_bw5_gamma0.1_maxw18_comb10_weightslack1_window2_scoretop0.1_min3_max10_100000prec_20260613_195100",3241,51,2719,final_best marker,9.0,11143209999.999996,0.00334,0.00018245212217940594,3240,9.0,11143209999.999996,0.00334,0.00018245212217940594,2719,2257.94,run-group total_runtime attribute,5,0.1,18,10,10,100000,2257.94
optimization/results/logical_guided_absolute_score_gamma01_slack1_repeated_runs/beam/logical_guided_beam_absolute_score_gamma01_slack1_C0_run9.hdf5,logical_guided_beam_absolute_score_gamma01_slack1_C0_run9.hdf5,beam,beam,0,9,"[625,25]","/[625,25]/logical_guided_score_S50_T300_p0.03_bw5_gamma0.1_maxw18_comb10_weightslack1_window2_scoretop0.1_min3_max10_100000prec_20260613_202840",4138,51,3304,final_best marker,9.0,9282000099.999996,0.00407,0.0002013324522961052,4137,9.0,9282000099.999996,0.00407,0.0002013324522961052,3304,2626.22,run-group total_runtime attribute,5,0.1,18,10,10,100000,2626.22
optimization/results/logical_guided_absolute_score_gamma01_slack1_repeated_runs/beam/logical_guided_beam_absolute_score_gamma01_slack1_C0_run10.hdf5,logical_guided_beam_absolute_score_gamma01_slack1_C0_run10.hdf5,beam,beam,0,10,"[625,25]","/[625,25]/logical_guided_score_S50_T300_p0.03_bw5_gamma0.1_maxw18_comb10_weightslack1_window2_scoretop0.1_min3_max10_100000prec_20260615_144044",2701,51,1151,final_best marker,9.0,9282000099.999996,0.0032,0.00017859988516006885,2700,9.0,9282000099.999996,0.0032,0.00017859988516006885,1151,2065.08,run-group total_runtime attribute,5,0.1,18,10,10,100000,2065.08
