filename,filepath,hdf5_group,method,C,run,code_family,selected_row_idx,final_distance,reeval_budget,reeval_completed_runs,reeval_failures,reeval_ler,reeval_ler_std,reeval_runtime_seconds,reeval_status,reeval_early_stopped,reeval_selection_policy,reeval_state_sha256,reeval_selected_flag,final_best_flag,search_runtime_seconds,stored_best_distance,stored_best_ler,stored_best_ler_std,target_distance,hit_target_distance
logical_guided_greedy_absolute_score_gamma01_slack1_C0_run1.hdf5,optimization/results/logical_guided_absolute_score_gamma01_slack1_repeated_runs/greedy/logical_guided_greedy_absolute_score_gamma01_slack1_C0_run1.hdf5,"/[625,25]/logical_guided_score_S50_T300_p0.03_bw1_gamma0.1_maxw18_comb10_weightslack1_window2_scoretop0.1_min3_max10_100000prec_20260613_133649",greedy,0,1,"[[625,25]]",1283,9,5000000,5000000,14720,0.002944,2.4229459139925886e-05,2252.8376722335815,complete,False,distance_then_ler,c093488ceecfafac35a0e0977c13b3bca0ca0acedd00331a7c6dda673ea6ec7f,True,True,485.95,9.0,0.00283,0.00016798866986178566,9,True
logical_guided_greedy_absolute_score_gamma01_slack1_C0_run2.hdf5,optimization/results/logical_guided_absolute_score_gamma01_slack1_repeated_runs/greedy/logical_guided_greedy_absolute_score_gamma01_slack1_C0_run2.hdf5,"/[625,25]/logical_guided_score_S50_T300_p0.03_bw1_gamma0.1_maxw18_comb10_weightslack1_window2_scoretop0.1_min3_max10_100000prec_20260613_134457",greedy,0,2,"[[625,25]]",1231,8,5000000,5000000,22041,0.0044082,2.9626908885382328e-05,1777.809826850891,complete,False,distance_then_ler,5b292e7a2222cfcfcb7863e12c14e6b0d9e248bf1a2bf72caeb9e63fac7fe81e,True,True,759.3,8.0,0.00421,0.00020475150361299503,9,False
logical_guided_greedy_absolute_score_gamma01_slack1_C0_run3.hdf5,optimization/results/logical_guided_absolute_score_gamma01_slack1_repeated_runs/greedy/logical_guided_greedy_absolute_score_gamma01_slack1_C0_run3.hdf5,"/[625,25]/logical_guided_score_S50_T300_p0.03_bw1_gamma0.1_maxw18_comb10_weightslack1_window2_scoretop0.1_min3_max10_100000prec_20260613_135738",greedy,0,3,"[[625,25]]",910,8,5000000,5000000,19964,0.0039928,2.8202334454905203e-05,1781.1018092632294,complete,False,distance_then_ler,faaca2c8275d584ae0f4b166b4a08fea132b9a18f12089653250b9ee5002ffb3,True,True,992.35,8.0,0.00402,0.0002000969674631874,9,False
logical_guided_greedy_absolute_score_gamma01_slack1_C0_run4.hdf5,optimization/results/logical_guided_absolute_score_gamma01_slack1_repeated_runs/greedy/logical_guided_greedy_absolute_score_gamma01_slack1_C0_run4.hdf5,"/[625,25]/logical_guided_score_S50_T300_p0.03_bw1_gamma0.1_maxw18_comb10_weightslack1_window2_scoretop0.1_min3_max10_100000prec_20260613_141412",greedy,0,4,"[[625,25]]",1375,9,5000000,5000000,17686,0.0035372,2.6550664477928926e-05,2072.274651288986,complete,False,distance_then_ler,4694607dbea60dd4393b89db0160ee3a7c4fa9a7c76850ff4440b61d742c2df6,True,True,789.82,9.0,0.00318,0.00017804267182877794,9,True
logical_guided_greedy_absolute_score_gamma01_slack1_C0_run5.hdf5,optimization/results/logical_guided_absolute_score_gamma01_slack1_repeated_runs/greedy/logical_guided_greedy_absolute_score_gamma01_slack1_C0_run5.hdf5,"/[625,25]/logical_guided_score_S50_T300_p0.03_bw1_gamma0.1_maxw18_comb10_weightslack1_window2_scoretop0.1_min3_max10_100000prec_20260613_142723",greedy,0,5,"[[625,25]]",475,8,5000000,5000000,20458,0.0040916,2.8547713128767165e-05,2257.460645675659,complete,False,distance_then_ler,f1605828155959e936e9895bfff121e29dc9be33dd23d091561a417ffe98de60,True,True,928.93,8.0,0.00349,0.0001864900715466318,9,False
logical_guided_greedy_absolute_score_gamma01_slack1_C0_run6.hdf5,optimization/results/logical_guided_absolute_score_gamma01_slack1_repeated_runs/greedy/logical_guided_greedy_absolute_score_gamma01_slack1_C0_run6.hdf5,"/[625,25]/logical_guided_score_S50_T300_p0.03_bw1_gamma0.1_maxw18_comb10_weightslack1_window2_scoretop0.1_min3_max10_100000prec_20260613_144254",greedy,0,6,"[[625,25]]",2011,9,5000000,5000000,18933,0.0037866,2.7467298428831634e-05,1587.3269863128662,complete,False,distance_then_ler,64cad758660137c3cd04c613c4474ea5d47bf7648918ca2c0e3d504f6f1756a5,True,True,1091.74,9.0,0.00343,0.00018488562093069396,9,True
logical_guided_greedy_absolute_score_gamma01_slack1_C0_run7.hdf5,optimization/results/logical_guided_absolute_score_gamma01_slack1_repeated_runs/greedy/logical_guided_greedy_absolute_score_gamma01_slack1_C0_run7.hdf5,"/[625,25]/logical_guided_score_S50_T300_p0.03_bw1_gamma0.1_maxw18_comb10_weightslack1_window2_scoretop0.1_min3_max10_100000prec_20260613_150107",greedy,0,7,"[[625,25]]",327,8,5000000,5000000,19258,0.0038516,2.7701140571439252e-05,1105.9617547988892,complete,False,distance_then_ler,2192c973511a531f14f913a3ae4f619a9c3bfc8dd80200d214da13370d7f1baf,True,True,922.33,8.0,0.00367,0.00019122153816128183,9,False
logical_guided_greedy_absolute_score_gamma01_slack1_C0_run8.hdf5,optimization/results/logical_guided_absolute_score_gamma01_slack1_repeated_runs/greedy/logical_guided_greedy_absolute_score_gamma01_slack1_C0_run8.hdf5,"/[625,25]/logical_guided_score_S50_T300_p0.03_bw1_gamma0.1_maxw18_comb10_weightslack1_window2_scoretop0.1_min3_max10_100000prec_20260613_151652",greedy,0,8,"[[625,25]]",435,9,5000000,5000000,15412,0.0030824,2.4790721751574256e-05,1321.1085572242737,complete,False,distance_then_ler,415fe22d8cdea0510c67ca11baf6b273e17ffbbef3a7e655d07d90a2176cf3ee,True,True,730.93,9.0,0.00276,0.0001659038855512203,9,True
logical_guided_greedy_absolute_score_gamma01_slack1_C0_run9.hdf5,optimization/results/logical_guided_absolute_score_gamma01_slack1_repeated_runs/greedy/logical_guided_greedy_absolute_score_gamma01_slack1_C0_run9.hdf5,"/[625,25]/logical_guided_score_S50_T300_p0.03_bw1_gamma0.1_maxw18_comb10_weightslack1_window2_scoretop0.1_min3_max10_100000prec_20260613_152905",greedy,0,9,"[[625,25]]",1009,8,5000000,5000000,17313,0.0034626,2.6270177355176793e-05,1481.6897230148315,complete,False,distance_then_ler,d779a4a8ebeb711821fda46a6be2384dcf408eae15d016a4ec061c4bd347f95a,True,True,977.87,8.0,0.00331,0.00018163361172340617,9,False
logical_guided_greedy_absolute_score_gamma01_slack1_C0_run10.hdf5,optimization/results/logical_guided_absolute_score_gamma01_slack1_repeated_runs/greedy/logical_guided_greedy_absolute_score_gamma01_slack1_C0_run10.hdf5,"/[625,25]/logical_guided_score_S50_T300_p0.03_bw1_gamma0.1_maxw18_comb10_weightslack1_window2_scoretop0.1_min3_max10_100000prec_20260615_151859",greedy,0,10,"[[625,25]]",895,8,5000000,5000000,18650,0.00373,2.7262016958462806e-05,1236.585078716278,complete,False,distance_then_ler,3cb07d55ffe3b691857655db154047eaf8940b430b646af256ee87e2a7ed8a38,True,True,669.11,8.0,0.00374,0.00019302978165289947,9,False
